country_code,city_name,organization_type,stat_date(月),Daily Orders
CO,Cúcuta,CKA,2024-06-01 / 2024-06-01,1
CO,Barranquilla,CKA,2024-06-01 / 2024-06-01,720
CO,Cartagena,CKA,2024-06-01 / 2024-06-01,28
CO,Manizales,CKA,2024-06-01 / 2024-06-01,0
CO,Medellín,CKA,2024-06-01 / 2024-06-01,4580
CO,Ibagué,CKA,2024-06-01 / 2024-06-01,0
CO,Bucaramanga,CKA,2024-06-01 / 2024-06-01,279
CO,Cali,CKA,2024-06-01 / 2024-06-01,1381
CO,Pereira,CKA,2024-06-01 / 2024-06-01,0
CO,Bogotá D.C.,CKA,2024-06-01 / 2024-06-01,6511
CR,Limon,SME,2024-06-01 / 2024-06-01,-
CR,Liberia,SME,2024-06-01 / 2024-06-01,-
CR,Liberia,CKA,2024-06-01 / 2024-06-01,-
CR,Liberia,KA,2024-06-01 / 2024-06-01,-
CR,Limon,KA,2024-06-01 / 2024-06-01,-
CR,San Jose,SME,2024-06-01 / 2024-06-01,2257
CR,Limon,CKA,2024-06-01 / 2024-06-01,-
CR,San Jose,CKA,2024-06-01 / 2024-06-01,2028
CR,San Jose,KA,2024-06-01 / 2024-06-01,7547
PE,Arequipa,SME,2024-06-01 / 2024-06-01,-
PE,Trujillo,SME,2024-06-01 / 2024-06-01,-
PE,Lima,SME,2024-06-01 / 2024-06-01,2477
PE,Arequipa,KA,2024-06-01 / 2024-06-01,-
PE,Lima,KA,2024-06-01 / 2024-06-01,3434
PE,Trujillo,KA,2024-06-01 / 2024-06-01,-
PE,Lima,DK,2024-06-01 / 2024-06-01,746
PE,Trujillo,CKA,2024-06-01 / 2024-06-01,-
PE,Arequipa,CKA,2024-06-01 / 2024-06-01,-
PE,Lima,CKA,2024-06-01 / 2024-06-01,1546
MX,Chilpancingo de los Bravo,SME,2024-05-01 / 2024-05-01,0
MX,Cordoba,SME,2024-05-01 / 2024-05-01,536
MX,Orizaba,SME,2024-05-01 / 2024-05-01,0
MX,Zamora,SME,2024-05-01 / 2024-05-01,-
